City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Awjilah,LY,73.22,clear sky,29.1081,21.2869,المنزل
553,Sungairaya,ID,80.47,few clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
556,Santa Isabel Do Rio Negro,BR,82.17,overcast clouds,-0.4139,-65.0192,Hotel GSA
558,Port Moresby,PG,77.94,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
561,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
562,Honiara,SB,76.82,light rain,-9.4333,159.95,Heritage Park Hotel
563,Kulhudhuffushi,MV,82.56,clear sky,6.6221,73.07,Haajy Guest House 1
575,Jiazi,CN,75.24,broken clouds,22.8779,116.067,Hotel Jin Hao
577,Jalu,LY,73.09,clear sky,29.0331,21.5482,صاحبة الفخامة
579,Kyaiklat,MM,83.97,few clouds,16.4333,95.7333,Ayar San Girls Hostel
585,Panlaitan,PH,83.53,scattered clouds,12.1191,119.8486,Panlaitan Cetro Beach
589,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
590,Veraval,IN,79.79,clear sky,20.9,70.3667,Lords Inn Somnath
593,Guapo,BR,82.78,broken clouds,-16.8306,-49.5319,Lar de idosos de Guapó
594,Dwarka,IN,81.82,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
598,Arboletes,CO,81.05,overcast clouds,8.8505,-76.4269,Hotel Playa Star
607,Villa Carlos Paz,AR,71.38,clear sky,-31.4241,-64.4978,Monte Carlo vcp
621,Umm Lajj,SA,72.18,clear sky,25.0213,37.2685,Moon light Furnished Units
622,Rangapara,IN,75.81,few clouds,26.8167,92.65,Bidhan
624,Lubango,AO,75.52,clear sky,-14.9172,13.4925,Hotel Serra da Chela
629,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
634,Najran,SA,84.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
636,Indramayu,ID,82.27,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
637,Boyolangu,ID,76.33,overcast clouds,-8.1181,111.8935,Yos ega cv
639,Saint-Pierre,RE,83.88,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
640,Manggar,ID,80.19,broken clouds,-2.8833,108.2667,Guest Hotel
641,Paka,MY,80.53,clear sky,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
646,Kudahuvadhoo,MV,82.33,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
651,Dawei,MM,79.84,few clouds,14.0833,98.2,Hotel Dawei
659,Akyab,MM,81.05,clear sky,20.15,92.9,Hotel Memory
660,Eydhafushi,MV,82.51,clear sky,5.1033,73.0708,Soneva Fushi
664,Pandan,PH,79.39,broken clouds,14.0453,124.1694,Bonifacio Lodge
665,Montepuez,MZ,81.55,light rain,-13.1256,38.9997,PembaAparthotel
667,Bac Lieu,VN,83.75,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
668,Qui Nhon,VN,79.61,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
