City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Kuching,MY,77.22,thunderstorm with light rain,1.55,110.3333,Hilton Kuching
345,Tocopilla,CL,73.13,clear sky,-22.092,-70.1979,Hotel Galvarino
350,Hambantota,LK,80.44,few clouds,6.1241,81.1185,Bungalow 63
351,Mahebourg,MU,83.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
358,Meulaboh,ID,80.67,broken clouds,4.1363,96.1285,Kost Pria
364,Muli,MV,82.65,clear sky,2.9167,73.5667,Medhufushi Island Resort
368,Tecoanapa,MX,78.13,overcast clouds,16.5167,-98.75,Hotel Manglares
372,Cidreira,BR,71.87,clear sky,-30.1811,-50.2056,Hotel Castelo
374,San Cristobal,VE,71.78,few clouds,7.7669,-72.225,Pirineos
377,Talara,PE,81.36,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
395,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
399,Savannah Bight,HN,76.23,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
400,Jardim,BR,71.62,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
403,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
407,Sao Miguel Do Araguaia,BR,84.85,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
411,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
415,Pangai,TO,79.95,light rain,-19.8,-174.35,Ha'apai Beach Resort
422,Bhinga,IN,81.63,clear sky,27.7167,81.9333,ANAND MISHTAN BHANDAR AND COFFEE TEA SETAL
426,Ugoofaaru,MV,82.44,clear sky,5.6667,73.0,Ungoofaaru Inn
428,Mineiros,BR,78.12,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
430,Porto Uniao,BR,72.66,scattered clouds,-26.2381,-51.0783,Hotel 10
431,Namatanai,PG,79.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
436,Kualakapuas,ID,77.99,broken clouds,-3.0091,114.3876,Guest House Izonk
437,Akhmim,EG,76.51,clear sky,26.5622,31.745,برج الماسة السكني
439,Isangel,VU,76.87,scattered clouds,-19.55,169.2667,Tanna Lodge
443,Zarand,IR,70.7,clear sky,30.8127,56.564,مهمانسرای فناپ
445,Dedza,MW,71.02,light rain,-14.3779,34.3332,Kapeleta Dedza Estates
446,Sijunjung,ID,73.29,clear sky,-0.6876,100.9537,Hotel Bukik Gadang
450,Cuamba,MZ,79.14,light rain,-14.8031,36.5372,Hotel Vision
451,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
455,Richards Bay,ZA,77.4,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
456,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
460,Palmas,BR,82.27,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
463,Alyangula,AU,82.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
464,Kirakira,SB,80.15,moderate rain,-10.4544,161.9205,SanBiz Lodge
468,Ternate,ID,80.46,light rain,0.8,127.4,Sahid Bela Ternate Hotel
469,Gondanglegi,ID,75.49,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
470,Port Keats,AU,81.61,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
471,San Juan Del Sur,NI,80.82,few clouds,11.2529,-85.8705,Nuestra Casa
477,Utinga,BR,77.4,moderate rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
478,Mlonggo,ID,79.77,overcast clouds,-6.5333,110.7,Asia Metal Art
480,Gikongoro,RW,70.43,broken clouds,-2.464,29.5739,Ubumwe Center Kigeme Ltd
481,Ha Tinh,VN,81.18,clear sky,18.3333,105.9,Phú Quý
482,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,Cap Malheureux,MU,83.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
489,Ahuimanu,US,72.86,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
490,Tura,IN,75.99,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
491,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
492,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
493,Itarema,BR,84.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
498,Padang,ID,77.5,clear sky,-0.9492,100.3543,Mercure Padang
500,Noumea,NC,71.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
502,Goma,CD,70.9,light rain,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
503,Illapel,CL,70.16,clear sky,-31.6308,-71.1653,Hotel Londres
504,Sambava,MG,82.54,few clouds,-14.2667,50.1667,Melrose
512,Payo,ID,74.64,broken clouds,-3.7508,103.6372,Mess keban agung
514,Payyannur,IN,81.95,scattered clouds,12.1,75.2,Kavvayi Beach House
520,Mpika,ZM,75.42,light rain,-11.8343,31.4529,Melodies Lodge
521,Careiro Da Varzea,BR,83.03,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
524,Madang,PG,77.0,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
525,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
526,Pimenta Bueno,BR,78.44,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
527,Norsup,VU,79.45,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
530,Butajira,ET,74.57,clear sky,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
532,Saurimo,AO,82.17,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
533,Agadir,MA,70.25,clear sky,30.4202,-9.5982,Iberostar Founty Beach
536,Chhatapur,IN,83.77,clear sky,26.2167,87.0167,Rahul Mukhiya
540,Coro,VE,83.01,overcast clouds,11.4045,-69.6734,Federal
541,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
548,Thanh Hoa,VN,78.64,few clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
