City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Nijar,ES,2022-03-26 14:03:54,36.9665,-2.206,53.24,88,100,3.44,overcast clouds
78,Tupik,RU,2022-03-26 14:03:54,54.4253,119.9327,16.52,98,100,2.46,overcast clouds
79,Bambous Virieux,MU,2022-03-26 14:03:55,-20.3428,57.7575,83.21,75,6,8.66,clear sky
80,Mount Vernon,US,2022-03-26 14:03:56,40.9126,-73.8371,52.03,57,75,5.99,broken clouds
81,Chokurdakh,RU,2022-03-26 14:03:56,70.6333,147.9167,0.84,95,100,11.03,overcast clouds
82,Vao,NC,2022-03-26 14:03:57,-22.6667,167.4833,76.5,75,71,14.41,broken clouds
83,Saldanha,ZA,2022-03-26 14:03:57,-33.0117,17.9442,66.22,66,63,11.7,broken clouds
84,Bethel,US,2022-03-26 14:03:58,41.3712,-73.414,50.36,66,75,6.91,broken clouds
85,Neman,RU,2022-03-26 14:03:58,55.0311,22.0264,44.33,50,30,22.53,scattered clouds
86,Vila Velha,BR,2022-03-26 13:59:53,-20.3297,-40.2925,87.75,66,20,12.66,few clouds
87,Tuatapere,NZ,2022-03-26 14:03:59,-46.1333,167.6833,51.98,89,63,1.16,broken clouds
88,Tamandare,BR,2022-03-26 14:03:59,-8.7597,-35.1047,83.97,70,99,9.4,overcast clouds
89,Lebu,CL,2022-03-26 14:04:30,-37.6167,-73.65,58.82,75,99,6.58,overcast clouds
90,Ravar,IR,2022-03-26 14:04:31,31.2656,56.8055,78.15,5,0,17.65,clear sky
91,Georgetown,MY,2022-03-26 14:01:43,5.4112,100.3354,84.13,79,20,1.14,light rain
92,Sitka,US,2022-03-26 14:04:32,57.0531,-135.33,33.69,80,0,3.44,clear sky
93,Pahrump,US,2022-03-26 14:04:32,36.2083,-115.9839,64.94,21,99,7.29,overcast clouds
94,Oyama,JP,2022-03-26 14:02:17,36.3,139.8,63.59,85,100,14.41,overcast clouds
95,Colares,PT,2022-03-26 14:04:32,38.7992,-9.4469,70.32,57,20,10.36,few clouds
96,Xam Nua,LA,2022-03-26 14:04:33,20.4197,104.0439,68.22,63,0,2.64,clear sky
97,Esperance,AU,2022-03-26 14:04:33,-33.8667,121.9,68.18,80,100,1.68,moderate rain
98,Saskylakh,RU,2022-03-26 14:04:34,71.9167,114.0833,-19.26,100,100,2.33,overcast clouds
99,Takoradi,GH,2022-03-26 14:04:34,4.8845,-1.7554,85.15,71,75,9.82,light rain
100,Bluff,NZ,2022-03-26 14:04:34,-46.6,168.3333,55.0,81,10,1.12,clear sky
101,Upernavik,GL,2022-03-26 14:04:35,72.7868,-56.1549,5.49,87,100,1.21,overcast clouds
102,Butaritari,KI,2022-03-26 14:04:35,3.0707,172.7902,79.56,77,100,11.01,overcast clouds
103,Keti Bandar,PK,2022-03-26 14:04:36,24.1447,67.4497,81.7,61,0,11.95,clear sky
104,Cape Town,ZA,2022-03-26 14:03:54,-33.9258,18.4232,86.11,42,0,12.33,clear sky
105,Narrabri,AU,2022-03-26 14:04:36,-30.3167,149.7833,65.52,76,100,1.99,light rain
106,Nampula,MZ,2022-03-26 14:04:36,-15.1165,39.2666,81.39,80,82,3.53,light rain
107,Chuy,UY,2022-03-26 14:04:37,-33.6971,-53.4616,69.6,65,90,16.75,overcast clouds
108,Talnakh,RU,2022-03-26 14:04:37,69.4865,88.3972,13.78,75,100,6.51,overcast clouds
109,Saint-Philippe,RE,2022-03-26 14:04:37,-21.3585,55.7679,83.79,84,52,7.9,light rain
110,Tommot,RU,2022-03-26 14:04:38,58.9564,126.2925,4.15,99,68,2.59,broken clouds
111,Grand Gaube,MU,2022-03-26 14:04:38,-20.0064,57.6608,83.37,78,2,5.01,clear sky
112,Tulun,RU,2022-03-26 14:04:39,54.5611,100.5792,20.23,94,100,6.69,overcast clouds
113,Lumberton,US,2022-03-26 14:04:14,34.6182,-79.0086,58.91,51,3,15.3,clear sky
114,Gwadar,PK,2022-03-26 14:04:39,25.1216,62.3254,80.89,55,0,11.52,clear sky
115,Kyren,RU,2022-03-26 14:04:40,51.6828,102.1408,16.81,76,10,4.41,clear sky
116,Katsuura,JP,2022-03-26 14:04:40,35.1333,140.3,63.03,93,100,34.83,light rain
117,Jamestown,US,2022-03-26 14:00:58,42.097,-79.2353,37.02,64,100,14.97,overcast clouds
118,Longyearbyen,SJ,2022-03-26 14:04:41,78.2186,15.6401,3.04,72,20,6.91,few clouds
119,Ulaangom,MN,2022-03-26 14:04:41,49.9811,92.0667,2.12,88,12,6.22,few clouds
120,Dhidhdhoo,MV,2022-03-26 14:04:41,6.8833,73.1,82.69,65,0,5.3,clear sky
121,Huarmey,PE,2022-03-26 14:04:42,-10.0681,-78.1522,72.73,78,100,6.98,overcast clouds
122,Santa Cruz,BO,2022-03-26 14:00:04,-17.8,-63.1667,67.73,68,100,6.91,overcast clouds
123,Roma,US,2022-03-26 14:00:08,43.2128,-75.4557,45.95,85,100,1.99,overcast clouds
124,Kununurra,AU,2022-03-26 14:04:42,-15.7667,128.7333,82.38,74,14,8.05,few clouds
125,Kisangani,CD,2022-03-26 14:00:24,0.5167,25.2,94.71,34,99,0.94,overcast clouds
126,Biltine,TD,2022-03-26 14:04:43,14.5333,20.9167,94.32,7,6,14.83,clear sky
127,Amahai,ID,2022-03-26 14:04:43,-3.3333,128.9167,78.26,85,100,2.77,overcast clouds
128,Cockburn Town,TC,2022-03-26 14:04:44,21.4612,-71.1419,78.33,72,26,15.82,scattered clouds
129,Iqaluit,CA,2022-03-26 14:04:44,63.7506,-68.5145,20.7,79,100,23.0,overcast clouds
130,Cherskiy,RU,2022-03-26 14:04:44,68.75,161.3,-21.6,100,95,4.07,overcast clouds
131,Axim,GH,2022-03-26 14:04:45,4.8699,-2.2405,86.43,68,87,9.6,light rain
132,Kushiro,JP,2022-03-26 14:04:18,42.975,144.3747,39.4,99,100,13.58,moderate rain
133,Tiarei,PF,2022-03-26 14:04:45,-17.5333,-149.3333,77.02,75,93,13.31,overcast clouds
134,Mataura,NZ,2022-03-26 14:04:46,-46.1927,168.8643,47.41,99,21,0.89,few clouds
135,Tshikapa,CD,2022-03-26 14:04:46,-6.4167,20.8,86.59,61,100,3.51,light rain
136,Taoudenni,ML,2022-03-26 14:04:46,22.6783,-3.9836,91.54,10,63,2.15,broken clouds
137,Ponta Do Sol,PT,2022-03-26 14:05:19,32.6667,-17.1,68.05,75,100,13.13,overcast clouds
138,Oriximina,BR,2022-03-26 14:05:20,-1.7656,-55.8661,82.29,78,83,4.21,broken clouds
139,Port Macquarie,AU,2022-03-26 14:05:21,-31.4333,152.9167,63.9,87,100,3.89,light rain
140,Hualmay,PE,2022-03-26 14:05:21,-11.0964,-77.6139,71.51,79,100,7.47,overcast clouds
141,New Norfolk,AU,2022-03-26 14:05:22,-42.7826,147.0587,58.5,97,1,2.3,clear sky
142,Coquimbo,CL,2022-03-26 14:04:02,-29.9533,-71.3436,63.14,80,98,3.87,overcast clouds
143,Plyussa,RU,2022-03-26 14:05:22,58.4308,29.3654,31.23,83,100,18.07,light snow
144,Westport,US,2022-03-26 14:05:23,41.1415,-73.3579,52.18,62,100,9.22,overcast clouds
145,Faanui,PF,2022-03-26 14:05:24,-16.4833,-151.75,82.11,70,57,14.88,broken clouds
